rank,score,viscousDampingNsPerM,coulombFrictionN,thermalRelaxationTimeS,thermalVolumeExponent,timingRmseMs,amplitudeRmseKpa,visibleDurationRmseMs,run1ReleaseAmplitudeMm,run1VisibleDurationS,run2ReleaseAmplitudeMm,run2VisibleDurationS,run3ReleaseAmplitudeMm,run3VisibleDurationS,run4ReleaseAmplitudeMm,run4VisibleDurationS
37,2.8910656229108653,1.1,0.01,0.1,1,2.255910700611415,0.9990495330437682,16.98528775146303,6.25,0.23199999999999998,5.75,0.24,4,0.201,3.5,0.216
38,2.892913025426506,1.3,0.0025,0.075,1,2.187139120764276,0.9478160907477463,18.90105817143579,7.5,0.21700000000000003,6.25,0.211,4.75,0.188,3.5,0.183
39,2.8973861498108304,1,0.005,0.075,1,2.255910700611415,1.0549661759879472,16.62077013859466,6,0.248,5.5,0.254,4,0.213,3.25,0.216
40,2.9034139279648548,1.3,0.0025,0.2,1,2.187139120764276,0.94752592175907,18.459414941974735,7,0.23299999999999998,5.75,0.22599999999999998,4.25,0.201,3.5,0.216
41,2.90349740188224,1,0.005,0.05,0.5,2.255910700611415,1.019250305063082,17.014699527173555,6.25,0.23299999999999998,5.75,0.239,4.25,0.213,3.25,0.216
42,2.9051762312058576,1.2,0.01,0.1,1,2.187139120764276,1.0262225503431135,15.049916943292398,6.5,0.21700000000000003,6,0.22499999999999998,4.25,0.188,3.25,0.19399999999999998
43,2.909833311248855,1.2,0.0025,0.15,1,2.187139120764276,0.9796801981250272,21.880356487041055,6.5,0.23299999999999998,5.75,0.24,4.25,0.213,3.5,0.22599999999999998
44,2.917419389980342,1.4,0,0.3,1,2.1625065725760635,0.8996296891130141,21.38340478034309,6.75,0.21800000000000003,6,0.22499999999999998,4.5,0.201,3.5,0.216
45,2.9214530359885957,1.2,0.005,0.15,1,2.187139120764276,1.0448173596463253,16.99264546796643,6.5,0.23299999999999998,6,0.24,4.25,0.213,3.25,0.216
46,2.923295005725474,1.3,0.005,0.2,1,2.1625065725760635,0.9737227475061825,18.459414941974735,7.25,0.23299999999999998,5.75,0.22599999999999998,4.5,0.201,3.5,0.216
47,2.9236236630628696,1.2,0.01,0.2,1,2.1625065725760635,1.0798752358631643,16.896745248715803,6.25,0.23299999999999998,6,0.239,4,0.201,3.25,0.216
48,2.924239241501499,1.4,0,0.3,0.5,2.1625065725760635,0.9147377140306854,21.201415047114182,6.75,0.21800000000000003,6,0.22599999999999998,4.5,0.201,3.5,0.216
49,2.925388631318511,1.3,0.005,0.3,1,2.1625065725760635,1.026790285597937,18.013883534651825,7,0.23299999999999998,5.75,0.22599999999999998,4.25,0.201,3.25,0.215
50,2.9272888842767126,1.3,0,0.3,1,2.1625065725760635,1.0260067571365528,21.931712199461302,6.5,0.23299999999999998,6,0.24,4.25,0.214,3.25,0.22599999999999998
51,2.928581157308279,1.2,0,0.075,0.5,2.255910700611415,0.9406056455624645,18.013883534651825,7,0.23299999999999998,5.75,0.22599999999999998,4.25,0.201,3.5,0.215
52,2.9289471738401627,1.3,0,0.2,1,2.1625065725760635,0.9894740126621935,21.880356487041055,6.75,0.23299999999999998,6.25,0.24,4.25,0.213,3.5,0.22599999999999998
53,2.9318388753768945,1.2,0.0025,0.05,0.5,2.187139120764276,0.9080995767369584,19.685019685029516,7.25,0.21700000000000003,6,0.211,4.75,0.188,3.5,0.19399999999999998
54,2.933473402230179,1.1,0.0025,0.1,1,2.255910700611415,1.0069731236705743,21.598611066455167,6.25,0.248,5.5,0.24,4,0.213,3.5,0.22599999999999998
55,2.93887271240806,1.3,0.01,0.2,0.5,2.1625065725760635,1.0118461650778061,17.59261208575917,6.75,0.21700000000000003,6,0.22599999999999998,4.25,0.201,3.25,0.205
56,2.9398215859183336,1.1,0.0025,0.05,0.5,2.19348018257638,1.0567318794080478,13.901438774457846,7.25,0.23199999999999998,5.75,0.22599999999999998,4.5,0.201,3.25,0.205
57,2.940318692087195,1,0.01,0.05,0.5,2.2681906103078378,0.9591032581683071,18.459414941974735,6.5,0.23299999999999998,5.75,0.22599999999999998,4.25,0.201,3.5,0.216
